ENSG00000290825,1654
ENSG00000223972,626
ENSG00000227232,1340
ENSG00000278267,67
ENSG00000243485,709
ENSG00000284332,137
ENSG00000237613,1184
ENSG00000268020,839
ENSG00000290826,1411
ENSG00000240361,938
ENSG00000186092,2615
ENSG00000238009,2744
ENSG00000239945,1317
ENSG00000233750,3811
ENSG00000268903,754
ENSG00000269981,283
ENSG00000239906,321
ENSG00000241860,4858
ENSG00000222623,103
ENSG00000241599,455
ENSG00000279928,565
ENSG00000279457,1387
ENSG00000273874,67
ENSG00000228463,5599
ENSG00000286448,734
ENSG00000236679,384
ENSG00000236601,992
ENSG00000290385,899
ENSG00000269732,362
ENSG00000284733,938
ENSG00000237094,182
ENSG00000233653,2475
ENSG00000250575,1237
ENSG00000278757,103
ENSG00000230021,1700
ENSG00000235146,605
ENSG00000225972,371
ENSG00000225630,1043
ENSG00000237973,1542
ENSG00000278791,88
ENSG00000229344,681
ENSG00000240409,206
ENSG00000248527,680
ENSG00000198744,546
ENSG00000268663,423
ENSG00000284662,938
ENSG00000229376,2453
ENSG00000291215,6453
ENSG00000223181,103
ENSG00000229905,454
ENSG00000228327,412
ENSG00000237491,2947
ENSG00000285268,113
ENSG00000290784,867
ENSG00000230092,235
ENSG00000177757,1945
ENSG00000225880,3311
ENSG00000228794,8381
ENSG00000288531,2507
ENSG00000230368,1804
ENSG00000234711,1057
ENSG00000283040,832
ENSG00000272438,349
ENSG00000230699,3041
ENSG00000241180,441
ENSG00000223764,4151
ENSG00000187634,3454
ENSG00000188976,4184
ENSG00000187961,2555
ENSG00000187583,3160
ENSG00000187642,3516
ENSG00000272512,2085
ENSG00000188290,1037
ENSG00000187608,784
ENSG00000231702,153
ENSG00000224969,469
ENSG00000188157,7439
ENSG00000242590,400
ENSG00000291156,1286
ENSG00000273443,827
ENSG00000217801,1209
ENSG00000237330,1898
ENSG00000131591,3312
ENSG00000285812,1093
ENSG00000223823,1617
ENSG00000207730,94
ENSG00000207607,89
ENSG00000198976,82
ENSG00000272141,986
ENSG00000205231,3530
ENSG00000162571,2291
ENSG00000186891,1078
ENSG00000186827,1702
ENSG00000078808,3513
ENSG00000176022,2804
ENSG00000184163,1028
ENSG00000260179,1557
ENSG00000160087,2447
ENSG00000230415,387
ENSG00000162572,3460
ENSG00000131584,5297
ENSG00000278073,60
ENSG00000169972,1779
ENSG00000127054,3073
ENSG00000283712,64
ENSG00000240731,384
ENSG00000224051,2151
ENSG00000169962,3469
ENSG00000107404,3290
ENSG00000284372,58
ENSG00000162576,2718
ENSG00000175756,1069
ENSG00000223663,366
ENSG00000221978,4439
ENSG00000224870,2528
ENSG00000242485,1690
ENSG00000264293,292
ENSG00000272455,1522
ENSG00000235098,2020
ENSG00000225905,541
ENSG00000205116,3215
ENSG00000225285,632
ENSG00000179403,4489
ENSG00000215915,3852
ENSG00000160072,4300
ENSG00000290916,658
ENSG00000284740,225
ENSG00000197785,2596
ENSG00000205090,1377
ENSG00000160075,4174
ENSG00000215014,2100
ENSG00000274481,399
ENSG00000228594,2123
ENSG00000286989,1827
ENSG00000272106,2037
ENSG00000197530,4228
ENSG00000189409,1525
ENSG00000248333,2972
ENSG00000272004,398
ENSG00000189339,6424
ENSG00000269737,1421
ENSG00000215914,1010
ENSG00000008128,2964
ENSG00000268575,5059
ENSG00000227775,1806
ENSG00000290854,2071
ENSG00000215790,728
ENSG00000008130,3639
ENSG00000078369,3468
ENSG00000231050,1016
ENSG00000169885,1879
ENSG00000178821,1116
ENSG00000142609,5316
ENSG00000233542,1952
ENSG00000187730,2385
ENSG00000226969,434
ENSG00000067606,2367
ENSG00000271806,4195
ENSG00000182873,1251
ENSG00000162585,4476
ENSG00000234396,324
ENSG00000157933,6076
ENSG00000287356,5672
ENSG00000116151,4759
ENSG00000272161,492
ENSG00000269896,2406
ENSG00000272420,567
ENSG00000157916,3021
ENSG00000157911,2899
ENSG00000149527,6982
ENSG00000224387,453
ENSG00000229393,512
ENSG00000157881,2622
ENSG00000197921,1321
ENSG00000272449,1529
ENSG00000238164,3606
ENSG00000157873,4250
ENSG00000225931,1294
ENSG00000228037,623
ENSG00000289610,450
ENSG00000157870,2820
ENSG00000142606,2855
ENSG00000237058,371
ENSG00000215912,7771
ENSG00000285945,590
ENSG00000283259,1555
ENSG00000233234,605
ENSG00000287396,661
ENSG00000231630,427
ENSG00000284745,1506
ENSG00000169717,1436
ENSG00000177133,4240
ENSG00000142611,8681
